Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0610-3346,06104503-3346226,2886691573123995520,92.6882503,-33.7728929,,
Sp0611+6818,06110330+6818333,1105505379196318080,92.7640802,68.3092292,,
Sp0611-5109,06112737-5109134,5549762268067194112,92.8643953,-51.153735,,
Sp0611+3325,06115582+3325383,3452063166545021824,92.9826922,33.4273118,,
Sp0614-2019,06141196-2019181,2941124270643891072,93.549918,-20.3217899,,
Sp0614+3833,06142970+3833415,956200977271782144,93.6238517,38.5615297,,
Sp0614+4536,06145280+4536556,962577285717437952,93.720066,45.6154407,,
Sp0615-0100,06154934-0100415,3121200807575320448,93.9556458,-1.011572,,
Sp0616-4557,06160532-4557080,5567054149998654848,94.022085,-45.9522473,,
Sp0616+5729,06163713+5729448,998487713438184832,94.1547588,57.4957882,,
Sp0619-5249,06193544-5249367,5500909385897323264,94.8978269,-52.8268765,,
Sp0621+1555,06214915+1555399,3369132776897491712,95.454762,15.9277427,,
Sp0622-2211,06221907-2211437,2936906161789886208,95.5795542,-22.1955559,,
Sp0622-1548,06223478-1548262,2944930573740707456,95.6449812,-15.8072403,,
Sp0623-6838,06231578-6838186,5279817796789375616,95.8161496,-68.6385024,,
Sp0623+2631,06231714+2631320,3432218798435750016,95.8214235,26.5255036,,
Sp0623+5137,06235243+5137023,971347127898766848,95.9694772,51.6173019,,
Sp0624+6626,06244172+6626309,1104317391237838464,96.1763034,66.4419754,,
Sp0624-4521,06244595-4521548,5556620540565785600,96.1913708,-45.3652025,,
Sp0625-1034,06251123-1034488,3001340395034929152,96.2968159,-10.5802718,,
Sp0626+0041,06262963+0041192,3120389196196563200,96.6234708,0.6886808,,
Sp0626+3454,06265189+3454342,942457013204227584,96.7162225,34.9094413,,
Sp0630-1840,06300140-1840143,2940211607277084672,97.5061606,-18.6707849,,
Sp0632+8305,06320617+8305014,1143789235905336576,98.0262431,83.083685,,
Sp0632-1009,06320891-1009269,3002163349423052544,98.037181,-10.1575608,,
Sp0640-2352,06402517-2352194,2923887295576778496,100.1050425,-23.8720662,,
Sp0641-4322,06411840-4322329,5557113083119380224,100.3270973,-43.3756919,,
Sp0643-1843,06431685-1843375,2945455521833759744,100.8203058,-18.7270475,,
Sp0643-0223,06433670-0223130,3106548406384807680,100.9029086,-2.3869863,,
Sp0644-2841,06441439-2841417,2918659736262929024,101.0601932,-28.6949303,,
Sp0644-8422,06443598-8422531,5193899140691016960,101.1479259,-84.3814254,,
Sp0648-6537,06484352-6537214,5285057661182230528,102.1813938,-65.6226779,,
Sp0652-2534,06521977-2534505,2920995300823950720,103.0822361,-25.580685,,
Sp0652+4710,06523073+4710348,954697944875755136,103.127759,47.1763705,,
Sp0652-1614,06525508-1614191,2946390896983338112,103.2295191,-16.238649,,
Sp0655+8318,06555943+8318155,1149624107892024448,103.992253,83.304208,,
Sp0656+6841,06560959+6841021,1103299758870807936,104.0401255,68.6839254,,
Sp0659+1717,06595849+1717162,3361210791323909504,104.9937788,17.287722,,
Sp0700+3157,07003664+3157266,890663968222557440,105.1530571,31.9570844,,
Sp0703+0711,07030328+0711008,3153877399801800576,105.7636944,7.1835745,,
Sp0703-3216,07032405-3216013,5604064845263049344,105.8504411,-32.2672056,,
Sp0703-2748,07032457-2748098,5610424179998567680,105.8523658,-27.8026754,,
Sp0703+4632,07032698+4632169,977653372545774336,105.8622839,46.53799,,
Sp0703-6134,07033826-6134152,5287064510419675776,105.909473,-61.5709329,,
Sp0704+3038,07040594+3038421,888240090541738624,106.0247903,30.6450235,,
Sp0704+0258,07044706+0258139,3116021729853781376,106.1960835,2.9705676,,
Sp0705+4742,07051713+4742529,977817513311105664,106.3218183,47.714662,,
Sp0706+2234,07062160+2235006,3368207228624546816,106.5899596,22.5833124,,
Sp0706+3858,07062855+3858247,947463811200288512,106.6189368,38.9735715,,
Sp0707-4900,07075327-4900503,5508545421138819968,106.9719759,-49.0139736,,
Sp0710-7431,07105337-7431070,5262552028253813504,107.7223187,-74.5186475,,
Sp0711-3001,07111405-3001156,5606193224898464128,107.808651,-30.02101,,
Sp0713+4732,07132561+4732531,977910937439738240,108.356822,47.5479523,,
Sp0714+3702,07140394+3702459,898275195732381440,108.5163288,37.0461181,,
Sp0715-1145,07155182-1145284,3045251148530763392,108.9662046,-11.757999,,
Sp0715-6544,07155720-6544406,5281455523646946048,108.988444,-65.744652,,
Sp0716-0630,07164790-0630369,3058039362114874496,109.1995994,-6.5102619,,
Sp0719-5051,07193188-5051410,5504230937511573504,109.8833012,-50.8614144,,
Sp0721+1937,07214625+1937444,3362890608868094208,110.4427212,19.6289974,,
Sp0721-3105,07215519-3105148,5604989328392927232,110.4800428,-31.087531,,
Sp0722+0243,07220145+0243544,3136033356873855488,110.5060646,2.7317743,,
Sp0723-1616,07230144-1616209,3028064269960442624,110.7559338,-16.272373,,
Sp0723+5727,07231462+5727081,989476558517917952,110.8111639,57.4521862,,
Sp0723-1439,07235195-1439487,3031622942429594752,110.9666696,-14.6627015,,
Sp0723-3309,07235265-3309446,5592471388502461184,110.9693964,-33.1623819,,
Sp0723-8015,07235966-8015179,5207997014358306816,110.9896373,-80.2550106,,
Sp0726+6302,07265213+6302073,1089040261285612800,111.7158592,63.0352644,,
Sp0729-2608,07293904-2608578,5613310741626546688,112.4126713,-26.1494306,,
Sp0730+1553,07304899+1553122,3168525815256214784,112.7040945,15.8866782,,
Sp0733-2010,07333820-2010585,5716282646967277184,113.4092271,-20.1829395,,
Sp0734-4330,07340889-4330256,5535283658436274944,113.5370227,-43.5071328,,
Sp0735+6137,07350070+6137555,1086480151539160960,113.7532069,61.6320511,,
Sp0737+2313,07370638+2313282,867302197990617600,114.2769995,23.2243675,,
Sp0739-4926,07390794-4926533,5494175873610005376,114.7836948,-49.4481473,,
Sp0740+1502,07400014+1502004,3165545588990827264,115.0005834,15.033602,,
Sp0740-1724,07401922-1724449,5717278911884264576,115.0809536,-17.4127531,,
Sp0741-0359,07410404-0359495,3057492217642259200,115.2668342,-3.9971388,,
Sp0741+1738,07410681+1738459,671143035762692352,115.278247,17.6457904,,
Sp0741+0531,07415784+0531568,3138513408427398016,115.491013,5.5324528,,
Sp0741-0706,07415874-0706171,3043684378825475968,115.4946883,-7.1047466,,
Sp0743-2836,07434593-2836271,5599886975960760704,115.9411986,-28.6076261,,
Sp0748+0228,07481186+0228194,3088582283305871232,117.0494299,2.4720403,,
Sp0750+6131,07504576+6131197,1087773413437321216,117.6910267,61.5221512,,
Sp0751-2530,07511645-2530432,5602408602804816768,117.8179042,-25.5119562,,
Sp0753+0854,07535284+0854021,3145665903366297472,118.470118,8.900645,,
Sp0754+1603,07540541+1603171,666802644893645440,118.5222691,16.0545929,,
Sp0755-2404,07552745-2404374,5698599996038907520,118.8644041,-24.0771776,,
Sp0757-3635,07574822-3635104,5545089511154751104,119.4509983,-36.5862569,,
Sp0758-1252,07583106-1252121,3036005939371283584,119.6294732,-12.8701029,,
Sp0758-3945,07583247-3945317,5537753986185229440,119.6353728,-39.7588501,,
Sp0759+0323,07592947+0323564,3094326750525827328,119.8728216,3.3990005,,
Sp0800+5511,08002758+5511346,1080925998616880768,120.1149184,55.1929213,,
Sp0804+6153,08040580+6153336,1085037832803001344,121.0238794,61.8924634,,
Sp0804+0151,08041229+0151268,3084885759576678528,121.0512341,1.8574513,,
Sp0804+0330,08041429+0330474,3094203051171389824,121.0595549,3.5131712,,
Sp0805-3158,08051104-3158115,5595785866305529216,121.2957413,-31.9698512,,
Sp0805+4812,08053189+4812330,933054951834436352,121.381705,48.2091393,,
Sp0805-0835,08055395-0835024,3039533477615075456,121.4748186,-8.5839715,,
Sp0806-2839,08062638-2839222,5597587141239788672,121.6104506,-28.6563485,,
Sp0807+3213,08072607+3213101,901941452829250560,121.8583254,32.2194641,,
Sp0807-3056,08072925-3056330,5595984980999231616,121.8719037,-30.9425676,,
Sp0808+3157,08080189+3157054,901922932930351872,122.0078596,31.951414,,
Sp0809-3720,08094064-3720019,5541111516746730752,122.4191424,-37.3338978,,
Sp0810-4115,08101779-4115450,5533697234964804096,122.5741354,-41.2625411,,
Sp0810+0324,08104340+0324127,3091512065183574272,122.6808682,3.4035559,,
Sp0810+1420,08105865+1420390,653799751664331520,122.7443608,14.3441054,,
Sp0811+1855,08111040+1855280,669399515262792320,122.793212,18.9244693,,
Sp0811-3324,08115605-3324357,5547451060267538304,122.9834828,-33.4099077,,
Sp0812-2444,08123170-2444423,5697787766170389888,123.1322103,-24.7451313,,
Sp0813-5232,08131950-5232031,5320834841834013568,123.3310191,-52.534163,,
Sp0814-3602,08145375-3602491,5541664742899490176,123.72411,-36.0470492,,
Sp0815-0843,08154844-0843574,3062563886824652800,123.9517759,-8.7326203,,
Sp0818+2333,08185804+2333522,677439114220735616,124.741627,23.5643307,,
Sp0819-0450,08194351-0450071,3066152486619261056,124.9313057,-4.8353331,,
Sp0819+1658,08194602+1658539,656167618671591424,124.9416733,16.9816037,,
Sp0819-0511,08195679-0511369,3065948797794468352,124.98665,-5.1936298,,
Sp0821+4532,08215010+4532019,930068265936597632,125.4578995,45.5336673,,
Sp0823+6125,08230838+6125208,1089980859123284864,125.7825132,61.422376,,
Sp0823+1034,08234470+1034518,600976189407617920,125.9362549,10.5811025,,
Sp0823+2428,08234818+2428577,679088656539598592,125.9506712,24.4827074,,
Sp0825+2115,08251968+2115521,664214600677732864,126.331578,21.2643237,,
Sp0826-3040,08261012-3040191,5643514699699713920,126.5421007,-30.6720001,,
Sp0827-5216,08270052-5216277,5321416174249027584,126.7524495,-52.2743052,,
Sp0827+4502,08272028+4502043,917948826005206656,126.8339299,45.0343595,,
Sp0828-1506,08283414-1506525,5722292856694743424,127.1422612,-15.1146384,,
Sp0828-1309,08283419-1309198,5723739672264914176,127.142313,-13.1555117,,
Sp0829+1456,08290664+1456225,651750158907764224,127.2776276,14.9394568,,
Sp0829-0238,08293244-0238543,3072877335956146944,127.3852518,-2.6485051,,
Sp0829+2646,08294949+2646348,703790044252850688,127.4550608,26.7760075,,
Sp0830-0050,08301750-0050336,3076592967999683200,127.5729235,-0.8426651,,
Sp0830+0947,08303256+0947153,599891555546067072,127.6356783,9.787621,,
Sp0831-2535,08313733-2535189,5695386260975296256,127.9055227,-25.5886006,,
Sp0831+1025,08315598+1025417,600076960693274496,127.9832801,10.4282682,,
Sp0832-0128,08320451-0128360,3073123351683582720,128.0188274,-1.4766771,,
Sp0832-0134,08323047-0134380,3073118648694573312,128.1270126,-1.5773738,,
Sp0833-5336,08334323-5336417,5321049521489667328,128.4292204,-53.6114546,,
Sp0833-5217,08335956-5217250,5321275024453205632,128.4975888,-52.2901803,,
Sp0835+1029,08352366+1029318,601522985987464576,128.8486043,10.4922459,,
Sp0835-0819,08354256-0819237,5753687109122994048,128.9271935,-8.3231637,,
Sp0840+1824,08402975+1824091,659464504288593536,130.1234773,18.4024241,,
Sp0840+4827,08404912+4827404,1014865626328245888,130.2045856,48.4611995,,
Sp0840+5911,08405411+5911041,1040681747033185152,130.224771,59.184505,,
Sp0841+3611,08410779+3611321,717602487277224320,130.2826029,36.1920448,,
Sp0843+1024,08433323+1024470,598390790892369920,130.8884833,10.4130985,,
Sp0844+0434,08440350+0434356,582212198844172928,131.0146278,4.5765549,,
Sp0844-2924,08441409-2924121,5642349874502561024,131.0587798,-29.4034562,,
Sp0847-1532,08472872-1532372,5733429157137237760,131.8697787,-15.5437159,,
Sp0848-5656,08485749-5656017,5304517397788265216,132.2395415,-56.93385,,
Sp0849+0220,08490052+0220155,577960765337401856,132.2521553,2.3376697,,
Sp0850-0318,08500913-0318305,5762038930728469888,132.5380014,-3.3084751,,
Sp0850+3126,08505049+3126300,706729107552444672,132.7104399,31.4416845,,
Sp0851+7727,08513558+7727182,1125848440251239424,132.8945751,77.4550687,,
Sp0853-0329,08533619-0329321,5761985432616501376,133.4006657,-3.4922782,,
Sp0853-2446,08535631-2446565,5652718166073269888,133.4850684,-24.7823436,,
Sp0855-2512,08555116-2512351,5652642883884415488,133.9631229,-25.2098571,,
Sp0857+5708,08575849+5708514,1037131492704550656,134.4921911,57.1476333,,
Sp0859+6341,08593854+6341355,1044279864474742272,134.9100813,63.6931719,,
Sp0859+1145,08594029+1145325,604031766579902976,134.9179132,11.7590473,,
Sp0900+2150,09002359+2150054,685103912857072640,135.0979406,21.834694,,
Sp0901-6940,09015438-6940284,5222467957473239552,135.4746376,-69.674602,,
Sp0902+0033,09020690+0033195,576506489410890752,135.5287932,0.5553993,,
Sp0902+6939,09021656+6939575,1117840314812941312,135.5705508,69.6660105,,
Sp0906-0611,09061182-0611397,5756707978666319744,136.5492961,-6.1943872,,
Sp0906-3332,09062502-3332016,5627865354993448960,136.6043601,-33.5337884,,
Sp0906-3449,09062837-3449259,5624353446139278848,136.6179494,-34.8238029,,
Sp0906-3548,09064219-3548217,5624087604843625472,136.6756467,-35.8060076,,
Sp0907-4308,09071993-4308473,5427222624865580288,136.8334431,-43.1465815,,
Sp0908+0836,09080457+0836459,590376897314063744,137.0190476,8.6127696,,
Sp0908+1459,09083716+1459120,607139879792423680,137.1548363,14.9867263,,
Sp0908+5032,09083803+5032088,1016186483389930752,137.1573544,50.5356161,,
Sp0909+1940,09094822+1940428,636342839906737792,137.4508116,19.6786268,,
Sp0911+7401,09111297+7401081,1123855296251645824,137.8018695,74.0189259,,
Sp0912+2425,09124523+2425493,687715630930635776,138.188748,24.4301966,,
Sp0913-0733,09130443-0733042,5745767739185914240,138.2684428,-7.5512756,,
Sp0914-6514,09141473-6514439,5248689458672718080,138.5619095,-65.2455422,,
Sp0916+2139,09161504+2139512,638510247908168576,139.0624596,21.6641961,,
Sp0916-1121,09165708-1120597,5739240415392701440,139.237891,-11.3500558,,
Sp0919+0016,09194267+0016047,3842388385654733568,139.9277818,0.2680236,,
Sp0921-2104,09211410-2104446,5676353096222033792,140.3088585,-21.0790062,,
Sp0921+6017,09212533+6017473,1039003544395162752,140.3562487,60.2964365,,
Sp0922-8010,09221952-8010399,5196015013380778624,140.5819612,-80.1777518,,
Sp0923-2727,09233028-2727207,5637175400984142336,140.8763472,-27.4557775,,
Sp0924-6655,09241354-6655302,5247231368807380224,141.0548154,-66.9250681,,
Sp0925+1704,09253485+1704415,631456507154111616,141.3950106,17.0782145,,
Sp0925+3007,09255469+3007571,697274883805771776,141.4782567,30.1324808,,
Sp0926+5309,09261233+5309390,1019903176290266880,141.550145,53.1608638,,
Sp0928+4230,09282562+4230545,814482174787733248,142.1060355,42.5150921,,
Sp0931+2802,09311309+2802289,696088343256278272,142.804965,28.0412537,,
Sp0931-1717,09312228-1717425,5682008056323530368,142.8429276,-17.2950902,,
Sp0931+3638,09312601+3638214,799110692993962368,142.8583584,36.6392989,,
Sp0931+0528,09312823+0528223,3852362605385919616,142.8676368,5.4728644,,
Sp0933-1602,09334975-1602522,5688160373636499840,143.4571348,-16.0484269,,
Sp0936-3346,09365490-3346212,5437808478004461056,144.2284267,-33.7725689,,
Sp0936-2609,09365564-2609422,5661194163772723072,144.2318991,-26.1617521,,
Sp0938-2748,09384022-2748184,5657734928392398976,144.6674203,-27.8051267,,
Sp0939+3950,09391458+3950218,801063150766338048,144.8107245,39.8393659,,
Sp0939+2943,09392335+2943271,696501553469122304,144.8468649,29.7241988,,
Sp0941+3315,09411179+3315130,794031395948224640,145.2994307,33.2536173,,
Sp0942-5047,09424780-5047392,5408858787836220800,145.6989802,-50.7942291,,
Sp0942+2351,09425716+2351200,641710410860420864,145.7380557,23.8554126,,
Sp0943-3833,09432994-3833560,5432670704985289088,145.874675,-38.5655861,,
Sp0943-0229,09434389-0229570,3827116478382551936,145.9327893,-2.4991822,,
Sp0944-3124,09440396-3124361,5440115876171568000,146.0164062,-31.4099751,,
Sp0944+6537,09440552+6537567,1065017822005186432,146.0220539,65.6323884,,
Sp0947+0224,09474477+0224327,3847024132835801344,146.9365869,2.4091382,,
Sp0949+0806,09492223+0806450,3853943806185777664,147.3426364,8.1125303,,
Sp0952-0955,09521947-0955052,3770802001068945536,148.0812023,-9.9182077,,
Sp0956-3811,09560352-3811412,5433620854830342272,149.0146605,-38.1948533,,
Sp0956-1910,09564583-1910227,5671734597630043776,149.1909898,-19.1730083,,
Sp0957+2627,09570563+2627317,643915176487425920,149.2735916,26.4588452,,
Sp1000-0949,10001272-0949214,3770393876095976960,150.0531035,-9.8226744,,
Sp1002+6349,10021216+6349262,1065113754394291584,150.5480317,63.8239373,,
Sp1002+2556,10023717+2556435,738963421223127168,150.6544223,25.9453586,,
Sp1003-0105,10031918-0105079,3830128624846458752,150.8298296,-1.085558,,
Sp1004-3335,10043929-3335189,5458784415378809728,151.1641362,-33.5886424,,
Sp1004-1318,10044030-1318186,3765325471089276288,151.1678923,-13.3052799,,
Sp1005-1202,10051671-1202100,3766333787676996736,151.3196098,-12.0361363,,
Sp1006-1653,10063197-1653266,5673602319993218560,151.6330507,-16.8906416,,
Sp1011+4245,10110024+4245035,808448501651533312,152.7507784,42.750937,,
Sp1011+2019,10113950+2019031,625400392813472000,152.9145548,20.3174472,,
Sp1012-3049,10120649-3049263,5461814875584141056,153.026923,-30.8239838,,
Sp1013-7842,10132597-7842551,5202336655483914624,153.3584522,-78.715316,,
Sp1013+3520,10132796+3520536,753347537280600832,153.3665257,35.3481592,,
Sp1016+2751,10163470+2751497,740931340878555904,154.1443543,27.8635625,,
Sp1017+0719,10172680+0719260,3873864513044635648,154.3616502,7.3238595,,
Sp1018-2909,10185879-2909535,5462412288353490944,154.7446697,-29.1649037,,
Sp1019-2707,10192447-2707171,5471876437768940416,154.851501,-27.1214106,,
Sp1019+7419,10193283+7419511,1126534535505719040,154.8833604,74.3308703,,
Sp1021+5055,10212742+5055043,847228998317017472,155.3631035,50.9178884,,
Sp1021-2044,10213232-2044069,5668026421651069184,155.3845507,-20.7353017,,
Sp1022+0200,10220489+0200477,3856498658891737728,155.5203731,2.01328,,
Sp1022+4114,10221489+4114266,804745827527463808,155.5618008,41.2406971,,
Sp1022+5825,10224821+5825453,1047188004010109440,155.6977494,58.4292765,,
Sp1028-6327,10280776-6327128,5252090488660292480,157.0326449,-63.4535704,,
Sp1029+1626,10292165+1626526,3889368043607829376,157.3404923,16.4477467,,
Sp1032-4208,10321367-4208568,5392287051645815168,158.0571516,-42.1491525,,
Sp1032+0501,10321706+0501032,3858864567396887936,158.0711192,5.017532,,
Sp1032+4027,10324649+4027588,756294988652473216,158.193492,40.4663487,,
Sp1033+1303,10331665+1303441,3883961293962619776,158.3194085,13.0622936,,
Sp1035+2507,10352455+2507450,724407502179323392,158.8520794,25.1290498,,
Sp1035-4816,10353108-4816462,5364671030411595904,158.8791657,-48.2795224,,
Sp1036-4437,10364994-4437246,5366988835279331712,159.2076872,-44.6234913,,
Sp1036-3441,10365305-3441380,5444217638657849856,159.2210465,-34.6939952,,
Sp1037+3011,10372897+3011117,735453264711448064,159.369758,30.1863302,,
Sp1039-0121,10393241-0121137,3805863193495442560,159.8849883,-1.3538098,,
Sp1039+1512,10394740+1512519,3886142248290633344,159.9474529,15.2144349,,
Sp1045-2607,10451718-2607249,5469802724480366848,161.3214538,-26.1236447,,
Sp1045-0149,10452400-0149576,3802665122192531712,161.3499229,-1.8327129,,
Sp1046+4441,10461875+4441149,781364918917080192,161.5779679,44.6874422,,
Sp1046-5658,10465228-5658327,5351297052033256064,161.7185506,-56.9757333,,
Sp1046-1602,10465689-1602036,3557260144122276608,161.7369032,-16.0343313,,
Sp1047-1815,10473109-1815574,3555963059703156224,161.8793328,-18.2659587,,
Sp1047+7613,10474097+7613017,1128248124378601472,161.9218245,76.2171371,,
Sp1048-1120,10481258-1120082,3757613049856225792,162.052609,-11.3360026,,
Sp1048-3956,10481463-3956062,5393446658454453632,162.0591783,-39.9352344,,
Sp1048-1925,10481885-1925333,3554140967072258304,162.078041,-19.425963,,
Sp1048-5254,10482788-5254180,5353652721316104832,162.1154463,-52.905036,,
Sp1048+0111,10484281+0111580,3808159454810609280,162.1783949,1.199506,,
Sp1050+4907,10503222+4907423,832562475274342528,162.633489,49.128342,,
Sp1050-4517,10503781-4517010,5387738200239483136,162.6570678,-45.2836215,,
Sp1051+5613,10511900+5613086,851053031037729408,162.8283554,56.219076,,
Sp1054-3445,10542604-3445296,5449420287163389184,163.608033,-34.7582821,,
Sp1055+0808,10554733+0808427,3865934633321490048,163.9472456,8.1452591,,
Sp1058-1548,10584787-1548172,3562717226488303360,164.6992733,-15.8047929,,
Sp1059-2113,10595138-2113082,3549886711771965184,164.9643077,-21.2190511,,
Sp1100+4957,11000965+4957470,833043374172123520,165.0398217,49.9629949,,
Sp1101+6508,11012960+6508423,1055924070568324608,165.371569,65.1450814,,
Sp1104+1959,11040127+1959217,3985153334796556928,166.0053388,19.989363,,
Sp1104-6412,11045955-6412108,5240416767548126720,166.2474875,-64.203028,,
Sp1106+0428,11061897+0428327,3815413929451499904,166.5790552,4.4757408,,
Sp1106+5259,11062352+5259317,842565209292919424,166.5976556,52.9921826,,
Sp1112-1502,11122285-1502467,3563051542448090368,168.0952004,-15.0463089,,
Sp1114+4516,11140222+4516067,785138236666164352,168.5081879,45.2685241,,
Sp1115-2429,11152970-2429346,3537580256079443968,168.8737868,-24.4930073,,
Sp1115-6731,11155037-6731332,5235273458327588224,168.9635053,-67.5258718,,
Sp1119+0820,11194647+0820356,3818676249170081408,169.9436337,8.3432767,,
Sp1121-1313,11214924-1313084,3562157781229213312,170.4548283,-13.2190913,,
Sp1122+0343,11220855+0343193,3812678894277121920,170.5356574,3.7220573,,
Sp1122-3916,11223624-3916054,5395939835428619776,170.6510707,-39.2682052,,
Sp1122-6533,11224462-6533161,5237048997789472256,170.6865185,-65.5544954,,
Sp1124+3808,11240487+3808054,764072693389251456,171.0205078,38.1348413,,
Sp1124-4213,11243908-4213114,5383082833650178816,171.1626117,-42.2198429,,
Sp1126-2706,11263718-2706470,3533077004345702656,171.6548614,-27.1130432,,
Sp1127+6346,11271602+6346369,863965764313485184,171.816031,63.7769881,,
Sp1128-1715,11280222-1715293,3548015725233042816,172.0091269,-17.2580879,,
Sp1130-5759,11301046-5759419,5336733745639778944,172.5421585,-57.9949819,,
Sp1131-6446,11312945-6446032,5237375312240964480,172.8718322,-64.7675902,,
Sp1133+1039,11332017+1039295,3916235366147580288,173.3340274,10.6581845,,
Sp1134-0224,11342951-0224181,3793379505977547008,173.6229927,-2.405045,,
Sp1134+0022,11345493+0022541,3797370909280252160,173.728895,0.3817005,,
Sp1136-0755,11364099-0755121,3592116483788799744,174.1707096,-7.9199986,,
Sp1138-1432,11381781-1432459,3572850772328371584,174.5742941,-14.5462771,,
Sp1139-0310,11394192-0310039,3792303255892637184,174.9246284,-3.1678054,,
Sp1141-2232,11414406-2232156,3540491079971287552,175.4334758,-22.5375031,,
Sp1143+0413,11435136+0413261,3896799367823015936,175.9640487,4.2239115,,
Sp1146+3431,11460907+3431384,4031116292386738304,176.5375394,34.5273826,,
Sp1148-2544,11485427-2544404,3490715741903588992,177.2261617,-25.744592,,
Sp1149-4012,11494971-4012433,5381471151464274816,177.4563667,-40.2120651,,
Sp1150-3139,11500230-3139323,3479243059623564160,177.5095717,-31.6589754,,
Sp1150-2850,11503794-2850132,3480933043353667328,177.6578479,-28.8369819,,
Sp1152+7412,11522057+7412529,1076066122862026752,178.0857689,74.2146712,,
Sp1152+2438,11524266+2438079,4004600401251919488,178.177334,24.6355302,,
Sp1153+0659,11535267+0659561,3899128064731508736,178.4694894,6.9989606,,
Sp1154+0135,11543399+0135545,3892263435682383488,178.6416988,1.5984553,,
Sp1155-3727,11553952-3727350,3460806448649173504,178.9147817,-37.4598628,,
Sp1155-2224,11554286-2224586,3493736924979792768,178.9284157,-22.4163315,,
Sp1157-4844,11574809-4844428,5371170445500507904,179.4502393,-48.7452347,,
Sp1158-2545,11580269-2545369,3487823991963915264,179.51118,-25.7602562,,
Sp1158+1354,11582484+1354456,3920340594673228928,179.6034634,13.9127852,,
Sp1159-5247,11592743-5247188,5368479017141170304,179.8609974,-52.7885865,,
Sp1159+0057,11593850+0057268,3891237587037953152,179.9103697,0.9574153,,
Sp1200+2048,12003292+2048513,3999432971480096640,180.1370566,20.8142736,,
Sp1201+3248,12010772+3248251,4027153579466009856,180.2822014,32.806909,,
Sp1201+4046,12013372+4046472,4035123015837707136,180.3897199,40.7796109,,
Sp1201-1213,12014096-1213481,3574523576191075328,180.4206512,-12.2300602,,
Sp1201-2932,12015441-2932487,3473814014803013248,180.476704,-29.5469384,,
Sp1202-0629,12022564-0629026,3595706561051608832,180.6068909,-6.4840864,,
Sp1202+4204,12025009+4204531,1537202850034988288,180.7082499,42.0814017,,
Sp1203+0015,12035812+0015500,3698979462002285824,180.9922191,0.2639191,,
Sp1204+3212,12043036+3212595,4026880286402654720,181.1265527,32.2165329,,
Sp1205-2758,12054455-2758283,3486407404374331136,181.4357637,-27.97459,,
Sp1206-4017,12062349-4017088,6149473568131829504,181.5983001,-40.2857965,,
Sp1206-3937,12065011-3937261,3459368076986593408,181.7087947,-39.6239234,,
Sp1207+7521,12072133+7521412,1692591738851696384,181.8398827,75.3614591,,
Sp1207+7617,12072325+7617369,1692759143791984768,181.8432379,76.293574,,
Sp1209+0542,12092283+0542056,3895344748299943296,182.3451508,5.7015848,,
Sp1210+1100,12102308+1100453,3906750635249348736,182.5961849,11.0125976,,
Sp1211+0406,12113013+0406096,3893817767165654400,182.875623,4.1027174,,
